,player,age,nationality,squad,position,minutes,90s,Pass Completion %,Pressured Passes Per 90,Progressive Passes Per 90,Successful Deliveries Into Box Per 90,Key Passes Per 90,Rate Adj Target of an Attempted Pass,Turnovers Per 90,Rate Adj Successful Dribbles Per 90,Progressive Distance Per Carry,Final Third Entries,Touches in Box,Touches in 1/3,GCA Per 90,SCA Per 90,xA Per 90,Non-Penalty xG Per 90,Non-Penalty xA + xG Per 90,xG Per Shot,Netto xA,Rate Adj Aerials Won %,Ball recoveries Per 90,Interceptions Per 90,Pressure Regain %,Rate Adj Tackles Won %,Dribbled Past,Clearances Per 90,Blocks Per 90
0,Dickson Abiama,23-081,ng NGA,Greuther Fürth,FW,585.0,6.5,66.4,35.0,2.0,0.9230769230769231,1.0769230769230769,6450.5,5.6923076923076925,36.92307692307692,2.2184873949579833,8.0,24.0,110.0,0.31,2.92,0.17,0.34,0.51,0.12,-0.1,535.5,5.076923076923077,1.2307692307692308,20.1,2.769230769230769,6.0,0.7692307692307693,1.0769230769230769
1,Ragnar Ache,23-179,de GER,Eint Frankfurt,FW MF,130.0,1.4444444444444444,51.8,22.0,0.6923076923076923,1.3846153846153846,1.3846153846153846,3904.0,7.615384615384616,124.61538461538461,3.36734693877551,3.0,15.0,50.0,0.69,3.46,0.19,0.3,0.49,0.05,0.7,1347.2,9.692307692307692,0.0,32.6,2.0,1.0,0.6923076923076923,1.3846153846153846
2,Tyler Adams,22-343,us USA,RB Leipzig,MF,978.0,10.866666666666667,87.1,113.0,3.8650306748466257,0.6441717791411042,0.5521472392638036,52285.200000000004,1.5644171779141103,20.935582822085887,2.5526802218114604,13.0,12.0,145.0,0.18,1.75,0.07,0.01,0.08,0.14,-0.7,1113.6,11.319018404907975,1.840490797546012,32.7,4.263157894736842,18.0,1.1042944785276072,1.840490797546012
3,Sargis Adamyan,28-245,am ARM,Hoffenheim,FW MF,331.0,3.6777777777777776,73.2,25.0,2.447129909365559,1.0876132930513596,1.0876132930513596,5893.8,6.797583081570997,108.81570996978854,2.0396039603960396,1.0,12.0,66.0,0.27,2.99,0.19,0.14,0.32,0.17,-0.7,139.0,7.341389728096677,0.8157099697885197,33.3,4.923076923076923,8.0,0.5438066465256798,1.3595166163141994
4,Amine Adli,21-258,fr FRA,Leverkusen,FW MF,890.0,9.88888888888889,76.5,80.0,3.134831460674157,0.9101123595505618,0.7078651685393258,26523.6,5.258426966292134,85.95505617977528,3.606217616580311,19.0,41.0,178.0,0.71,2.93,0.12,0.23,0.35,0.11,0.8,502.59999999999997,6.775280898876404,1.3146067415730336,35.2,11.172413793103448,9.0,0.5056179775280899,2.629213483146067
5,Naouirou Ahamada,19-300,fr FRA,Stuttgart,MF,29.0,0.32222222222222224,81.8,3.0,3.103448275862069,0.0,0.0,1936.0,0.0,0.0,2.9047619047619047,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,3.103448275862069
6,Manuel Akanji,26-188,ch SUI,Dortmund,DF,1387.0,15.411111111111111,90.8,105.0,4.542177361211247,0.12977649603460706,0.06488824801730353,96725.2,0.32444124008651765,19.46647440519106,2.98989898989899,6.0,15.0,44.0,0.0,0.32,0.0,0.08,0.08,0.11,0.0,2269.8,8.63013698630137,1.6870944484498918,50.0,16.941176470588236,3.0,3.2444124008651767,1.3626532083633742
7,Kevin Akpoguma,26-279,ng NGA,Hoffenheim,DF,1044.0,11.6,74.4,89.0,4.741379310344827,0.6896551724137931,0.7758620689655172,34333.200000000004,2.0689655172413794,41.724137931034484,2.717171717171717,15.0,34.0,257.0,0.34,1.9,0.14,0.11,0.24,0.1,0.4,952.1999999999999,7.758620689655173,1.896551724137931,28.4,5.5,9.0,0.9482758620689655,3.6206896551724137
8,Lucas Alario,29-107,ar ARG,Leverkusen,FW,214.0,2.3777777777777778,68.8,13.0,0.0,0.0,0.8411214953271028,3821.4,7.570093457943925,210.2803738317757,1.7833333333333334,3.0,20.0,49.0,0.0,4.63,0.18,0.39,0.57,0.15,-0.4,171.60000000000002,3.7850467289719627,0.8411214953271028,25.8,4.0,1.0,0.4205607476635514,0.8411214953271028
9,Nadiem Amiri,25-088,de GER,Leverkusen,MF FW,369.0,4.1,82.4,45.0,4.390243902439025,2.1951219512195124,0.7317073170731708,18081.0,3.414634146341464,85.3658536585366,3.2572815533980584,13.0,9.0,89.0,0.24,1.71,0.05,0.11,0.16,0.06,-0.2,20.0,9.02439024390244,1.2195121951219514,40.4,2.0,3.0,0.48780487804878053,1.2195121951219514
10,Sebastian Andersson,30-192,se SWE,Köln,FW,834.0,9.266666666666667,67.5,74.0,0.8633093525179856,0.539568345323741,0.6474820143884892,11435.6,5.719424460431654,9.712230215827338,1.5460122699386503,4.0,57.0,170.0,0.32,1.51,0.08,0.31,0.4,0.1,0.2,1103.6000000000001,2.913669064748201,0.2158273381294964,33.3,5.444444444444445,3.0,0.8633093525179856,0.539568345323741
11,Andrés Andrade Cedeño,23-099,pa PAN,Arminia,DF,690.0,7.666666666666667,66.0,44.0,3.652173913043478,0.13043478260869565,0.3913043478260869,16523.2,2.4782608695652173,58.0695652173913,3.5596330275229358,8.0,15.0,100.0,0.13,0.65,0.03,0.03,0.06,0.04,-0.2,802.4000000000001,10.565217391304348,2.4782608695652173,34.2,8.047619047619047,11.0,5.08695652173913,1.6956521739130435
12,Robert Andrich,27-123,de GER,Leverkusen,MF,1035.0,11.5,81.9,79.0,4.608695652173913,0.6956521739130435,0.34782608695652173,35473.4,0.6956521739130435,27.82608695652174,2.3014084507042254,11.0,22.0,100.0,0.35,1.22,0.05,0.19,0.24,0.13,1.4,1778.4,11.130434782608695,2.869565217391304,36.0,13.761904761904763,10.0,2.869565217391304,2.347826086956522
13,Angeliño,25-019,es ESP,RB Leipzig,DF,1300.0,14.444444444444445,72.7,109.0,4.292307692307692,2.4923076923076923,2.2153846153846155,55876.700000000004,1.9384615384615385,20.76923076923077,1.794266441821248,12.0,42.0,425.0,0.42,3.46,0.3,0.06,0.36,0.09,-1.4,865.5,7.961538461538462,1.2461538461538462,37.3,4.761904761904762,13.0,2.2153846153846155,1.9384615384615385
14,Waldemar Anton,25-187,de GER,Stuttgart,DF,1521.0,16.9,86.9,105.0,2.958579881656805,0.3550295857988166,0.4142011834319527,87458.2,0.8875739644970415,36.982248520710066,3.1680280046674447,11.0,22.0,57.0,0.12,1.24,0.04,0.06,0.1,0.08,0.2,2439.0,9.349112426035504,2.366863905325444,41.0,14.666666666666666,17.0,5.739644970414202,2.0118343195266273
15,Christopher Antwi-Adjei,27-350,gh GHA,Bochum,FW MF,705.0,7.833333333333333,63.6,44.0,1.4042553191489362,0.6382978723404256,0.6382978723404256,11469.5,6.638297872340425,37.17446808510638,3.5816326530612246,8.0,37.0,165.0,0.26,1.66,0.09,0.19,0.28,0.09,0.3,313.20000000000005,5.361702127659575,0.7659574468085106,27.7,6.666666666666666,9.0,0.6382978723404256,1.4042553191489362
16,Charles Aránguiz,32-281,cl CHI,Leverkusen,MF,767.0,8.522222222222222,84.6,83.0,3.8722294654498044,0.46936114732724904,0.7040417209908736,35350.9,1.1734028683181226,63.90352020860496,1.481586402266289,4.0,6.0,59.0,0.12,1.64,0.02,0.11,0.13,0.22,-0.2,240.0,10.443285528031291,2.4641460234680572,31.7,11.130434782608695,22.0,0.7040417209908736,2.8161668839634943
