,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Yunis Abdelhamid,ma MAR,DF,Reims,34-117,1987,20.0,20.0,1800.0,1.0,0.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,1.0,1.0,0.2,0.05,0.01,0.06,0.05,0.06,20.0,14.0,4.0,0.0,28.6,0.7,0.2,0.07,0.25,0.07,0.0,0.0,765.0,934.0,81.9,16617.0,5683.0,207.0,234.0,88.5,435.0,490.0,88.8,119.0,183.0,65.0,-0.2,5.0,40.0,4.0,0.0,47.0,868.0,66.0,56.0,0.0,103.0,37.0,1.0,0.0,0.0,0.0,0.0,688.0,80.0,166.0,617.0,246.0,34.0,10.0,2.0,2.0,19.0,26.0,19.0,11.0,0.55,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,25.0,9.0,1.0,9.0,14.0,64.3,5.0,272.0,106.0,39.0,154.0,102.0,16.0,41.0,18.0,1.0,23.0,68.0,67.0,0.0,1152.0,151.0,669.0,501.0,65.0,24.0,1092.0,11.0,16.0,68.8,11.0,1.0,714.0,3935.0,2155.0,47.0,12.0,0.0,725.0,708.0,97.7,8.0,6.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,150.0,45.0,31.0,59.2
1,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-303,2000,19.0,18.0,1595.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.03,0.04,0.07,0.03,0.07,17.7,8.0,3.0,0.0,37.5,0.45,0.17,0.0,0.0,0.06,-0.5,-0.5,1091.0,1177.0,92.7,20759.0,3492.0,408.0,435.0,93.8,530.0,556.0,95.3,139.0,161.0,86.3,-0.8,8.0,46.0,5.0,0.0,43.0,1165.0,12.0,11.0,0.0,140.0,18.0,4.0,0.0,0.0,0.0,0.0,1028.0,80.0,69.0,94.0,1034.0,30.0,1.0,6.0,2.0,13.0,24.0,13.0,19.0,1.07,14.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,20.0,18.0,2.0,11.0,39.0,28.2,28.0,366.0,115.0,31.4,129.0,196.0,41.0,20.0,1.0,0.0,19.0,37.0,12.0,0.0,1338.0,51.0,474.0,784.0,168.0,9.0,1328.0,18.0,24.0,75.0,19.0,1.0,1041.0,4861.0,2030.0,48.0,11.0,3.0,1113.0,1048.0,94.2,6.0,28.0,1.0,30.0,23.0,0.0,0.0,0.0,0.0,139.0,13.0,15.0,46.4
2,Laurent Abergel,fr FRA,MF,Lorient,28-356,1993,20.0,20.0,1767.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.05,0.05,0.0,0.05,1.7,1.7,1.7,0.08,0.09,0.17,0.08,0.17,19.6,18.0,4.0,0.0,22.2,0.92,0.2,0.0,0.0,0.09,-1.7,-1.7,809.0,989.0,81.8,15758.0,4014.0,318.0,356.0,89.3,351.0,397.0,88.4,130.0,192.0,67.7,-0.7,13.0,75.0,11.0,6.0,74.0,975.0,14.0,10.0,3.0,184.0,31.0,15.0,0.0,0.0,0.0,0.0,761.0,102.0,126.0,81.0,886.0,11.0,3.0,1.0,5.0,13.0,28.0,38.0,31.0,1.58,23.0,1.0,0.0,0.0,4.0,3.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,63.0,35.0,29.0,29.0,5.0,30.0,88.0,34.1,58.0,516.0,153.0,29.7,188.0,274.0,54.0,28.0,1.0,0.0,27.0,47.0,9.0,0.0,1205.0,17.0,284.0,796.0,210.0,9.0,1194.0,28.0,43.0,65.1,30.0,3.0,917.0,3622.0,1815.0,66.0,22.0,2.0,906.0,853.0,94.2,12.0,29.0,0.0,28.0,36.0,0.0,0.0,0.0,0.0,182.0,7.0,7.0,50.0
3,Charles Abi,fr FRA,FW,Saint-Étienne,21-286,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
4,Matthis Abline,fr FRA,FW,Rennes,18-301,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Martin Adeline,fr FRA,FW MF,Reims,18-052,2003,3.0,2.0,181.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.22,0.16,0.38,0.22,0.38,2.0,3.0,1.0,0.0,33.3,1.49,0.5,0.0,0.0,0.14,-0.4,-0.4,49.0,72.0,68.1,836.0,217.0,22.0,26.0,84.6,17.0,25.0,68.0,5.0,11.0,45.5,-0.3,1.0,5.0,1.0,0.0,6.0,67.0,5.0,1.0,0.0,23.0,1.0,1.0,4.0,0.0,4.0,0.0,53.0,6.0,13.0,12.0,58.0,1.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,1.49,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,2.0,1.0,1.0,6.0,16.7,5.0,40.0,11.0,27.5,16.0,16.0,8.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,96.0,3.0,18.0,48.0,33.0,4.0,91.0,2.0,2.0,100.0,2.0,1.0,62.0,242.0,127.0,4.0,1.0,0.0,63.0,54.0,85.7,4.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,25.0
6,Yacine Adli,fr FRA,MF FW,Bordeaux,21-178,2000,21.0,16.0,1413.0,1.0,6.0,0.0,0.0,3.0,0.0,0.06,0.38,0.45,0.06,0.45,1.3,1.3,3.9,0.09,0.25,0.33,0.09,0.33,15.7,18.0,8.0,4.0,44.4,1.15,0.51,0.06,0.13,0.07,-0.3,-0.3,599.0,796.0,75.3,12620.0,4056.0,238.0,274.0,86.9,230.0,277.0,83.0,123.0,220.0,55.9,2.1,38.0,75.0,19.0,3.0,93.0,715.0,81.0,29.0,2.0,124.0,61.0,22.0,42.0,27.0,5.0,1.0,524.0,90.0,182.0,89.0,673.0,13.0,8.0,3.0,5.0,21.0,32.0,21.0,69.0,4.39,48.0,12.0,1.0,1.0,6.0,1.0,11.0,0.7,10.0,0.0,0.0,0.0,1.0,0.0,23.0,18.0,11.0,9.0,3.0,6.0,31.0,19.4,25.0,323.0,92.0,28.5,72.0,168.0,83.0,20.0,3.0,0.0,17.0,32.0,9.0,0.0,990.0,16.0,176.0,567.0,316.0,26.0,912.0,30.0,56.0,53.6,34.0,3.0,719.0,3870.0,1945.0,83.0,27.0,4.0,831.0,709.0,85.3,30.0,41.0,0.0,12.0,23.0,4.0,0.0,0.0,0.0,101.0,12.0,15.0,44.4
7,Lucien Agoume,fr FRA,MF,Brest,19-348,2002,16.0,13.0,1126.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.06,0.02,0.08,0.06,0.08,12.5,10.0,1.0,0.0,10.0,0.8,0.08,0.0,0.0,0.07,-0.7,-0.7,499.0,570.0,87.5,9350.0,2314.0,202.0,224.0,90.2,205.0,227.0,90.3,75.0,90.0,83.3,-0.3,8.0,29.0,9.0,0.0,42.0,554.0,16.0,13.0,0.0,86.0,21.0,1.0,1.0,0.0,0.0,1.0,437.0,59.0,74.0,66.0,464.0,23.0,0.0,3.0,1.0,4.0,15.0,11.0,21.0,1.68,15.0,1.0,0.0,4.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,17.0,15.0,5.0,10.0,18.0,55.6,8.0,222.0,64.0,28.8,75.0,113.0,34.0,20.0,9.0,0.0,11.0,31.0,21.0,0.0,699.0,40.0,232.0,374.0,129.0,21.0,684.0,15.0,22.0,68.2,16.0,2.0,459.0,2215.0,1177.0,33.0,9.0,2.0,478.0,444.0,92.9,4.0,14.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,109.0,16.0,20.0,44.4
8,Nayef Aguerd,ma MAR,DF,Rennes,25-299,1996,18.0,18.0,1610.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.06,0.17,0.11,0.17,1.4,1.4,0.3,0.08,0.01,0.09,0.08,0.09,17.9,17.0,5.0,0.0,29.4,0.95,0.28,0.12,0.4,0.08,0.6,0.6,1183.0,1300.0,91.0,26656.0,8900.0,291.0,308.0,94.5,630.0,656.0,96.0,254.0,323.0,78.6,0.7,1.0,66.0,2.0,0.0,51.0,1263.0,37.0,32.0,1.0,92.0,51.0,2.0,0.0,0.0,0.0,0.0,1094.0,59.0,147.0,1113.0,114.0,38.0,5.0,2.0,1.0,15.0,22.0,7.0,6.0,0.34,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,11.0,5.0,0.0,3.0,10.0,30.0,7.0,101.0,37.0,36.6,55.0,42.0,4.0,19.0,10.0,0.0,9.0,27.0,95.0,1.0,1482.0,176.0,763.0,776.0,40.0,23.0,1447.0,3.0,4.0,75.0,3.0,0.0,1050.0,5295.0,2853.0,43.0,3.0,0.0,1142.0,1123.0,98.3,3.0,4.0,0.0,9.0,7.0,1.0,0.0,1.0,0.0,139.0,69.0,21.0,76.7
9,Ruben Aguilar,fr FRA,DF,Monaco,28-272,1993,16.0,11.0,1148.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.02,0.03,0.0,0.03,12.8,3.0,1.0,0.0,33.3,0.24,0.08,0.0,0.0,0.02,-0.1,-0.1,885.0,1019.0,86.8,15842.0,5394.0,390.0,421.0,92.6,416.0,459.0,90.6,72.0,120.0,60.0,-0.3,5.0,73.0,15.0,4.0,75.0,846.0,173.0,22.0,0.0,90.0,18.0,23.0,1.0,0.0,1.0,0.0,673.0,210.0,136.0,14.0,810.0,27.0,150.0,7.0,3.0,13.0,32.0,16.0,10.0,0.78,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,25.0,20.0,7.0,28.0,45.0,62.2,17.0,213.0,80.0,37.6,104.0,82.0,27.0,17.0,1.0,0.0,16.0,35.0,38.0,0.0,1180.0,38.0,315.0,669.0,262.0,12.0,1013.0,6.0,10.0,60.0,7.0,0.0,702.0,3129.0,1936.0,86.0,24.0,2.0,762.0,721.0,94.6,8.0,6.0,0.0,17.0,18.0,1.0,0.0,0.0,1.0,123.0,20.0,16.0,55.6
