,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Luis Abram,pe PER,DF,Granada,25-330,1996,8.0,6.0,560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.08,0.0,0.08,0.08,0.08,6.2,2.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,-0.5,-0.5,194.0,220.0,88.2,4320.0,1153.0,42.0,46.0,91.3,115.0,124.0,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,5.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.48,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,5.0,1.0,1.0,3.0,4.0,75.0,1.0,35.0,13.0,37.1,14.0,20.0,1.0,12.0,5.0,2.0,7.0,11.0,39.0,1.0,289.0,62.0,185.0,113.0,7.0,5.0,281.0,0.0,0.0,0.0,0.0,0.0,156.0,803.0,478.0,7.0,0.0,0.0,187.0,182.0,97.3,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,25.0,12.0,15.0,44.4
1,Marcos Acuña,ar ARG,DF,Sevilla,30-087,1991,19.0,15.0,1310.0,1.0,3.0,0.0,0.0,4.0,0.0,0.07,0.21,0.27,0.07,0.27,1.3,1.3,2.0,0.09,0.14,0.22,0.09,0.22,14.6,10.0,4.0,1.0,40.0,0.69,0.27,0.1,0.25,0.13,-0.3,-0.3,916.0,1152.0,79.5,19237.0,6915.0,324.0,346.0,93.6,411.0,480.0,85.6,173.0,297.0,58.2,1.0,25.0,58.0,26.0,13.0,77.0,954.0,198.0,35.0,2.0,94.0,61.0,77.0,21.0,0.0,18.0,0.0,673.0,181.0,298.0,863.0,105.0,26.0,142.0,2.0,2.0,18.0,35.0,25.0,46.0,3.16,30.0,11.0,1.0,2.0,2.0,0.0,3.0,0.21,1.0,2.0,0.0,0.0,0.0,0.0,32.0,19.0,19.0,6.0,7.0,14.0,20.0,70.0,6.0,139.0,42.0,30.2,61.0,56.0,22.0,16.0,1.0,0.0,15.0,20.0,20.0,0.0,1292.0,34.0,381.0,630.0,362.0,14.0,1104.0,28.0,37.0,75.7,29.0,3.0,873.0,3940.0,2315.0,96.0,21.0,3.0,924.0,883.0,95.6,17.0,19.0,0.0,19.0,34.0,0.0,0.0,0.0,0.0,118.0,17.0,25.0,40.5
2,Martin Agirregabiria,es ESP,DF,Alavés,25-258,1996,16.0,14.0,1314.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07,0.1,0.1,0.9,0.01,0.06,0.07,0.01,0.07,14.6,4.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.02,-0.1,-0.1,486.0,675.0,72.0,9144.0,4554.0,194.0,234.0,82.9,239.0,307.0,77.9,51.0,115.0,44.3,0.1,13.0,40.0,18.0,10.0,49.0,519.0,156.0,8.0,0.0,68.0,16.0,36.0,0.0,0.0,0.0,0.0,327.0,154.0,194.0,31.0,434.0,45.0,148.0,2.0,2.0,16.0,29.0,25.0,23.0,1.58,17.0,2.0,1.0,0.0,3.0,0.0,2.0,0.14,1.0,0.0,1.0,0.0,0.0,0.0,33.0,17.0,16.0,9.0,8.0,20.0,37.0,54.1,17.0,167.0,43.0,25.7,75.0,69.0,23.0,26.0,3.0,0.0,23.0,20.0,37.0,0.0,828.0,44.0,246.0,409.0,208.0,9.0,676.0,13.0,16.0,81.3,13.0,1.0,404.0,1604.0,931.0,40.0,16.0,0.0,465.0,405.0,87.1,8.0,9.0,0.0,23.0,24.0,1.0,0.0,1.0,0.0,128.0,29.0,34.0,46.0
3,Julen Agirrezabala,es ESP,GK,Athletic Club,21-028,2000,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,82.0,74.4,1695.0,1037.0,14.0,14.0,100.0,30.0,30.0,100.0,16.0,37.0,43.2,0.0,0.0,1.0,0.0,0.0,0.0,48.0,34.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,33.0,30.0,36.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,75.0,95.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,38.0,159.0,75.0,0.0,0.0,0.0,26.0,25.0,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
4,Sergio Agüero,ar ARG,FW,Barcelona,33-235,1988,4.0,2.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,0.64,0.16,0.8,0.64,0.8,1.7,6.0,1.0,0.0,16.7,3.58,0.6,0.17,1.0,0.18,-0.1,-0.1,31.0,43.0,72.1,469.0,43.0,18.0,25.0,72.0,10.0,15.0,66.7,2.0,2.0,100.0,-0.3,1.0,2.0,0.0,0.0,2.0,41.0,2.0,0.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,10.0,5.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,4.0,22.2,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,28.0,33.0,15.0,57.0,1.0,1.0,100.0,1.0,0.0,38.0,237.0,110.0,7.0,2.0,2.0,78.0,53.0,67.9,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,66.7
5,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21-354,2000,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,24.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-116,1995,16.0,14.0,1198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.0,0.01,0.01,0.01,13.3,2.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,-0.1,-0.1,537.0,648.0,82.9,12563.0,3509.0,118.0,138.0,85.5,277.0,304.0,91.1,134.0,189.0,70.9,0.0,1.0,43.0,1.0,0.0,37.0,632.0,16.0,6.0,1.0,69.0,14.0,1.0,0.0,0.0,0.0,0.0,452.0,56.0,140.0,105.0,466.0,46.0,10.0,2.0,0.0,17.0,10.0,11.0,7.0,0.53,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,20.0,4.0,1.0,6.0,13.0,46.2,7.0,143.0,60.0,42.0,95.0,45.0,3.0,25.0,9.0,0.0,16.0,27.0,56.0,2.0,785.0,110.0,429.0,385.0,18.0,7.0,769.0,2.0,3.0,66.7,2.0,0.0,485.0,2870.0,1597.0,42.0,3.0,0.0,486.0,478.0,98.4,5.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,131.0,40.0,23.0,63.5
7,Carlos Akapo,gq EQG,DF,Cádiz,28-317,1993,11.0,8.0,776.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,8.6,4.0,1.0,0.0,25.0,0.46,0.12,0.0,0.0,0.05,-0.2,-0.2,200.0,297.0,67.3,4119.0,2018.0,74.0,92.0,80.4,91.0,123.0,74.0,32.0,70.0,45.7,-0.1,2.0,12.0,5.0,3.0,10.0,221.0,76.0,9.0,0.0,38.0,11.0,13.0,0.0,0.0,0.0,0.0,124.0,80.0,93.0,11.0,189.0,22.0,67.0,0.0,0.0,13.0,8.0,13.0,6.0,0.7,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,17.0,3.0,0.0,6.0,14.0,42.9,8.0,129.0,42.0,32.6,80.0,38.0,11.0,19.0,6.0,0.0,13.0,26.0,28.0,0.0,402.0,48.0,177.0,150.0,90.0,2.0,328.0,2.0,3.0,66.7,3.0,1.0,165.0,820.0,413.0,19.0,8.0,0.0,166.0,139.0,83.7,7.0,2.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,76.0,17.0,16.0,51.5
8,Ilias Akhomach,es ESP,FW,Barcelona,17-282,2004,2.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.08,0.27,0.34,0.08,0.34,1.4,4.0,2.0,0.0,50.0,2.9,1.45,0.0,0.0,0.03,-0.1,-0.1,44.0,52.0,84.6,612.0,180.0,34.0,35.0,97.1,8.0,10.0,80.0,2.0,5.0,40.0,-0.4,3.0,3.0,5.0,1.0,6.0,52.0,0.0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,44.0,3.0,5.0,48.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,5.08,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,6.0,20.0,50.0,8.0,70.0,1.0,3.0,33.3,1.0,1.0,62.0,272.0,169.0,12.0,2.0,3.0,60.0,56.0,93.3,0.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
9,Paul Akouokou,ci CIV,MF,Betis,24-034,1997,3.0,2.0,179.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,2.0,2.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.02,0.0,0.0,86.0,100.0,86.0,1542.0,416.0,33.0,39.0,84.6,45.0,49.0,91.8,6.0,10.0,60.0,0.0,1.0,8.0,1.0,0.0,6.0,100.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,8.0,15.0,13.0,79.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,25.0,3.0,40.0,13.0,32.5,16.0,19.0,5.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0,118.0,6.0,33.0,80.0,10.0,1.0,118.0,2.0,2.0,100.0,2.0,0.0,77.0,379.0,211.0,9.0,1.0,0.0,86.0,85.0,98.8,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,1.0,83.3
