,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Max Aarons,eng ENG,DF,Norwich City,22-019,2000,21.0,21.0,1879.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.9,0.03,0.04,0.07,0.03,0.07,20.9,9.0,2.0,0.0,22.2,0.43,0.1,0.0,0.0,0.06,-0.6,-0.6,718.0,952.0,75.4,12215.0,4443.0,362.0,399.0,90.7,278.0,362.0,76.8,68.0,150.0,45.3,0.1,12.0,36.0,28.0,7.0,72.0,735.0,217.0,13.0,1.0,109.0,14.0,36.0,0.0,0.0,0.0,0.0,548.0,203.0,201.0,108.0,613.0,17.0,204.0,1.0,5.0,17.0,32.0,39.0,25.0,1.2,20.0,1.0,1.0,2.0,1.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,34.0,14.0,0.0,29.0,44.0,65.9,15.0,244.0,66.0,27.0,143.0,77.0,24.0,54.0,15.0,0.0,39.0,30.0,40.0,0.0,1209.0,95.0,449.0,515.0,333.0,18.0,998.0,26.0,56.0,46.4,27.0,4.0,722.0,4287.0,2608.0,117.0,38.0,8.0,767.0,692.0,90.2,16.0,20.0,0.0,19.0,32.0,1.0,0.0,1.0,1.0,113.0,10.0,38.0,20.8
1,Che Adams,sct SCO,FW,Southampton,25-194,1996,16.0,12.0,1029.0,4.0,1.0,0.0,0.0,0.0,0.0,0.35,0.09,0.44,0.35,0.44,2.7,2.7,1.4,0.24,0.13,0.36,0.24,0.36,11.4,23.0,13.0,0.0,56.5,2.01,1.14,0.17,0.31,0.12,1.3,1.3,158.0,233.0,67.8,2226.0,473.0,99.0,123.0,80.5,42.0,64.0,65.6,9.0,20.0,45.0,-0.4,10.0,7.0,6.0,1.0,16.0,225.0,8.0,0.0,3.0,64.0,1.0,4.0,0.0,0.0,0.0,0.0,146.0,47.0,40.0,18.0,170.0,15.0,1.0,5.0,2.0,6.0,12.0,12.0,22.0,1.92,15.0,0.0,1.0,0.0,5.0,1.0,2.0,0.17,1.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,3.0,2.0,4.0,1.0,6.0,16.7,5.0,171.0,41.0,24.0,24.0,63.0,84.0,16.0,4.0,0.0,12.0,8.0,11.0,0.0,388.0,20.0,63.0,166.0,176.0,48.0,380.0,5.0,13.0,38.5,7.0,0.0,235.0,908.0,392.0,17.0,6.0,4.0,504.0,254.0,50.4,29.0,26.0,0.0,18.0,26.0,3.0,0.0,0.0,0.0,69.0,28.0,57.0,32.9
2,Rayan Aït Nouri,fr FRA,DF,Wolves,20-231,2001,11.0,10.0,898.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,0.3,0.3,0.9,0.03,0.09,0.12,0.03,0.12,10.0,6.0,2.0,0.0,33.3,0.6,0.2,0.0,0.0,0.05,-0.3,-0.3,377.0,523.0,72.1,6303.0,2325.0,202.0,222.0,91.0,140.0,185.0,75.7,33.0,89.0,37.1,1.1,8.0,15.0,7.0,4.0,23.0,416.0,107.0,7.0,1.0,77.0,15.0,24.0,18.0,5.0,11.0,1.0,289.0,108.0,126.0,351.0,61.0,22.0,82.0,0.0,1.0,12.0,17.0,19.0,22.0,2.2,11.0,6.0,3.0,0.0,1.0,1.0,4.0,0.4,2.0,1.0,0.0,0.0,1.0,0.0,44.0,25.0,34.0,7.0,3.0,16.0,27.0,59.3,11.0,225.0,74.0,32.9,133.0,60.0,32.0,18.0,1.0,0.0,17.0,19.0,16.0,0.0,669.0,34.0,243.0,248.0,203.0,22.0,564.0,22.0,38.0,57.9,26.0,2.0,403.0,1876.0,1195.0,64.0,10.0,7.0,425.0,374.0,88.0,14.0,18.0,0.0,10.0,10.0,1.0,1.0,0.0,0.0,76.0,12.0,10.0,54.5
3,Kristoffer Ajer,no NOR,DF,Brentford,23-281,1998,10.0,9.0,835.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.02,0.06,0.08,0.02,0.08,9.3,3.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.07,-0.2,-0.2,250.0,365.0,68.5,4567.0,2041.0,97.0,119.0,81.5,122.0,164.0,74.4,26.0,59.0,44.1,-0.6,2.0,18.0,5.0,1.0,24.0,300.0,65.0,6.0,0.0,61.0,5.0,5.0,0.0,0.0,0.0,0.0,174.0,101.0,90.0,16.0,232.0,26.0,59.0,1.0,0.0,11.0,16.0,18.0,11.0,1.19,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,11.0,1.0,2.0,8.0,17.0,47.1,9.0,78.0,25.0,32.1,43.0,28.0,7.0,16.0,6.0,1.0,10.0,19.0,42.0,1.0,473.0,52.0,219.0,211.0,73.0,14.0,411.0,7.0,9.0,77.8,7.0,0.0,233.0,1478.0,859.0,26.0,9.0,0.0,234.0,206.0,88.0,9.0,4.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,93.0,39.0,18.0,68.4
4,Nathan Aké,nl NED,DF,Manchester City,26-339,1995,8.0,6.0,581.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.3,0.3,0.0,0.04,0.0,0.04,0.04,0.04,6.5,2.0,1.0,0.0,50.0,0.31,0.15,0.5,1.0,0.14,0.7,0.7,456.0,495.0,92.1,8110.0,2311.0,200.0,211.0,94.8,219.0,237.0,92.4,34.0,43.0,79.1,0.0,0.0,31.0,3.0,0.0,15.0,476.0,19.0,3.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,422.0,37.0,36.0,356.0,89.0,17.0,16.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,1.0,2.0,50.0,1.0,39.0,12.0,30.8,17.0,19.0,3.0,8.0,5.0,0.0,3.0,12.0,22.0,0.0,549.0,40.0,192.0,321.0,80.0,3.0,530.0,0.0,2.0,0.0,0.0,0.0,402.0,2084.0,1406.0,47.0,9.0,0.0,446.0,426.0,95.5,2.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,48.0,28.0,1.0,96.6
5,Marc Albrighton,eng ENG,DF FW,Leicester City,32-066,1989,9.0,5.0,520.0,1.0,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,0.5,0.5,0.3,0.08,0.05,0.13,0.08,0.13,5.8,3.0,1.0,0.0,33.3,0.52,0.17,0.33,1.0,0.15,0.5,0.5,120.0,198.0,60.6,2040.0,924.0,67.0,74.0,90.5,44.0,66.0,66.7,8.0,44.0,18.2,-0.3,4.0,10.0,5.0,2.0,14.0,158.0,40.0,3.0,0.0,40.0,13.0,8.0,16.0,9.0,5.0,1.0,96.0,51.0,51.0,10.0,157.0,8.0,20.0,0.0,3.0,4.0,11.0,15.0,6.0,1.04,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,9.0,6.0,5.0,5.0,18.0,27.8,13.0,146.0,30.0,20.5,50.0,74.0,22.0,10.0,2.0,1.0,8.0,14.0,3.0,0.0,266.0,16.0,62.0,125.0,89.0,5.0,227.0,11.0,21.0,52.4,12.0,1.0,157.0,582.0,220.0,10.0,4.0,2.0,202.0,145.0,71.8,6.0,8.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,26.0,3.0,4.0,42.9
6,Thiago Alcántara,es ESP,MF,Liverpool,30-287,1991,11.0,8.0,676.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.13,0.27,0.13,0.27,1.5,1.5,1.0,0.19,0.13,0.33,0.19,0.33,7.5,16.0,5.0,0.0,31.3,2.13,0.67,0.06,0.2,0.1,-0.5,-0.5,563.0,645.0,87.3,11944.0,3342.0,195.0,215.0,90.7,263.0,289.0,91.0,100.0,128.0,78.1,0.0,10.0,86.0,8.0,0.0,79.0,636.0,9.0,5.0,1.0,90.0,29.0,0.0,0.0,0.0,0.0,0.0,483.0,64.0,98.0,41.0,565.0,20.0,2.0,1.0,1.0,8.0,24.0,9.0,29.0,3.86,23.0,0.0,0.0,5.0,0.0,1.0,2.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,10.0,13.0,3.0,4.0,17.0,23.5,13.0,126.0,51.0,40.5,38.0,62.0,26.0,9.0,1.0,0.0,8.0,11.0,7.0,1.0,718.0,19.0,137.0,465.0,169.0,20.0,710.0,2.0,6.0,33.3,2.0,0.0,527.0,2316.0,1204.0,65.0,23.0,4.0,561.0,533.0,95.0,5.0,5.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,109.0,19.0,8.0,70.4
7,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-108,1998,19.0,19.0,1684.0,2.0,10.0,0.0,0.0,1.0,0.0,0.11,0.53,0.64,0.11,0.64,2.0,2.0,7.5,0.11,0.4,0.51,0.11,0.51,18.7,34.0,10.0,3.0,29.4,1.82,0.53,0.06,0.2,0.06,0.0,0.0,1235.0,1641.0,75.3,26769.0,10882.0,473.0,540.0,87.6,479.0,587.0,81.6,267.0,467.0,57.2,2.5,58.0,129.0,55.0,13.0,178.0,1307.0,334.0,57.0,10.0,142.0,126.0,76.0,88.0,19.0,58.0,1.0,862.0,279.0,500.0,178.0,1224.0,40.0,189.0,3.0,4.0,24.0,71.0,39.0,99.0,5.29,57.0,35.0,3.0,3.0,1.0,0.0,13.0,0.69,8.0,5.0,0.0,0.0,0.0,0.0,26.0,16.0,13.0,10.0,3.0,15.0,37.0,40.5,22.0,174.0,64.0,36.8,63.0,57.0,54.0,23.0,2.0,0.0,21.0,49.0,30.0,1.0,1816.0,50.0,365.0,836.0,694.0,58.0,1485.0,15.0,24.0,62.5,15.0,0.0,1037.0,3886.0,2125.0,99.0,39.0,10.0,1207.0,1129.0,93.5,9.0,15.0,0.0,10.0,7.0,4.0,0.0,0.0,0.0,191.0,12.0,12.0,50.0
8,Alisson,br BRA,GK,Liverpool,29-113,1992,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,689.0,86.9,15719.0,8603.0,99.0,99.0,100.0,343.0,348.0,98.6,156.0,241.0,64.7,0.0,0.0,6.0,0.0,0.0,0.0,572.0,117.0,30.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,510.0,28.0,151.0,44.0,532.0,0.0,0.0,98.0,0.0,12.0,8.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,749.0,575.0,743.0,7.0,0.0,0.0,632.0,1.0,2.0,50.0,1.0,0.0,439.0,1566.0,851.0,0.0,0.0,0.0,423.0,418.0,98.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,121.0,0.0,0.0,0.0
9,Allan,br BRA,MF,Everton,31-015,1991,17.0,16.0,1447.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,0.1,0.1,0.5,0.01,0.03,0.04,0.01,0.04,16.1,4.0,2.0,0.0,50.0,0.25,0.12,0.0,0.0,0.03,-0.1,-0.1,466.0,606.0,76.9,9326.0,2909.0,158.0,190.0,83.2,221.0,265.0,83.4,73.0,115.0,63.5,1.5,12.0,59.0,14.0,2.0,75.0,566.0,40.0,14.0,0.0,94.0,12.0,4.0,0.0,0.0,0.0,0.0,395.0,77.0,134.0,66.0,505.0,18.0,8.0,3.0,4.0,10.0,26.0,21.0,23.0,1.43,22.0,0.0,0.0,0.0,1.0,0.0,6.0,0.37,5.0,0.0,0.0,0.0,1.0,0.0,50.0,41.0,27.0,18.0,5.0,10.0,52.0,19.2,42.0,412.0,130.0,31.6,165.0,210.0,37.0,31.0,5.0,0.0,26.0,27.0,27.0,0.0,777.0,50.0,231.0,448.0,142.0,9.0,737.0,13.0,17.0,76.5,13.0,1.0,470.0,2369.0,1277.0,65.0,19.0,2.0,435.0,400.0,92.0,10.0,20.0,0.0,21.0,15.0,0.0,1.0,0.0,0.0,178.0,7.0,8.0,46.7
