,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Tammy Abraham,eng ENG,FW,Roma,24-048,1997,12.0,12.0,1010.0,3.0,2.0,0.0,0.0,4.0,0.0,0.27,0.18,0.45,0.27,0.45,6.3,6.3,2.0,0.56,0.18,0.75,0.56,0.75,11.2,33.0,8.0,1.0,24.2,2.94,0.71,0.09,0.38,0.19,-3.3,-3.3,165.0,216.0,76.4,2355.0,526.0,102.0,126.0,81.0,46.0,61.0,75.4,9.0,11.0,81.8,0.0,15.0,9.0,10.0,0.0,22.0,197.0,19.0,1.0,1.0,62.0,2.0,5.0,0.0,0.0,0.0,0.0,142.0,46.0,28.0,16.0,149.0,18.0,0.0,10.0,0.0,2.0,7.0,9.0,37.0,3.3,25.0,0.0,0.0,8.0,3.0,1.0,6.0,0.53,3.0,0.0,0.0,2.0,1.0,0.0,15.0,12.0,2.0,9.0,4.0,4.0,8.0,50.0,4.0,151.0,43.0,28.5,6.0,67.0,78.0,9.0,3.0,0.0,6.0,3.0,10.0,1.0,340.0,9.0,24.0,155.0,187.0,71.0,322.0,14.0,22.0,63.6,14.0,0.0,186.0,907.0,499.0,31.0,14.0,9.0,446.0,241.0,54.0,25.0,11.0,0.0,20.0,15.0,8.0,0.0,0.0,0.0,33.0,28.0,28.0,50.0
1,Francesco Acerbi,it ITA,DF,Lazio,33-282,1988,10.0,10.0,885.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.0,0.02,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,680.0,89.9,12552.0,3962.0,205.0,220.0,93.2,310.0,334.0,92.8,90.0,116.0,77.6,-0.2,3.0,45.0,0.0,0.0,33.0,656.0,24.0,19.0,1.0,56.0,22.0,1.0,0.0,0.0,0.0,0.0,484.0,81.0,115.0,507.0,124.0,26.0,0.0,2.0,0.0,9.0,6.0,3.0,8.0,0.81,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,5.0,3.0,0.0,3.0,7.0,42.9,4.0,64.0,19.0,29.7,30.0,28.0,6.0,19.0,13.0,0.0,6.0,22.0,53.0,0.0,780.0,109.0,415.0,397.0,24.0,3.0,758.0,1.0,1.0,100.0,1.0,0.0,512.0,2548.0,1414.0,32.0,7.0,0.0,544.0,532.0,97.8,4.0,3.0,0.0,10.0,6.0,1.0,1.0,0.0,0.0,113.0,35.0,17.0,67.3
2,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18-304,2003,2.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.22,0.08,0.3,0.22,0.3,0.9,3.0,1.0,0.0,33.3,3.42,1.14,0.0,0.0,0.07,-0.2,-0.2,10.0,15.0,66.7,188.0,71.0,4.0,8.0,50.0,5.0,6.0,83.3,1.0,1.0,100.0,-0.1,2.0,0.0,2.0,1.0,2.0,14.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.56,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,18.2,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,10.0,21.0,8.0,28.0,0.0,2.0,0.0,0.0,0.0,22.0,141.0,94.0,3.0,2.0,0.0,27.0,20.0,74.1,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
3,Kevin Agudelo,co COL,FW,Spezia,23-005,1998,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.63,0.71,1.34,0.63,1.34,0.3,2.0,2.0,0.0,100.0,6.21,6.21,0.0,0.0,0.1,-0.2,-0.2,11.0,16.0,68.8,183.0,54.0,5.0,6.0,83.3,5.0,8.0,62.5,1.0,1.0,100.0,-0.2,2.0,1.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.31,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,100.0,0.0,11.0,3.0,27.3,2.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,2.0,9.0,13.0,1.0,22.0,1.0,1.0,100.0,1.0,0.0,17.0,92.0,34.0,4.0,1.0,0.0,19.0,17.0,89.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
4,Ola Aina,ng NGA,DF,Torino,25-042,1996,11.0,9.0,726.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0.02,0.14,0.16,0.02,0.16,8.1,5.0,1.0,0.0,20.0,0.62,0.12,0.0,0.0,0.04,-0.2,-0.2,283.0,385.0,73.5,5229.0,2345.0,125.0,150.0,83.3,117.0,144.0,81.3,38.0,70.0,54.3,-1.1,10.0,27.0,15.0,3.0,40.0,313.0,72.0,2.0,2.0,53.0,3.0,19.0,0.0,0.0,0.0,0.0,208.0,70.0,107.0,91.0,198.0,19.0,70.0,2.0,1.0,6.0,13.0,22.0,21.0,2.6,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,9.0,2.0,9.0,12.0,75.0,3.0,87.0,31.0,35.6,28.0,37.0,22.0,10.0,2.0,0.0,8.0,19.0,14.0,0.0,498.0,19.0,100.0,244.0,185.0,17.0,428.0,10.0,20.0,50.0,11.0,1.0,268.0,1453.0,852.0,39.0,16.0,8.0,332.0,287.0,86.4,13.0,9.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,66.0,8.0,7.0,53.3
5,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-039,1992,7.0,3.0,232.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.14,0.01,0.15,0.14,0.15,2.6,1.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.36,-0.4,-0.4,64.0,78.0,82.1,849.0,129.0,41.0,47.0,87.2,21.0,24.0,87.5,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,78.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,19.0,1.0,15.0,54.0,3.0,0.0,1.0,0.0,2.0,2.0,6.0,2.0,0.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,7.0,0.0,4.0,8.0,50.0,4.0,75.0,18.0,24.0,17.0,38.0,20.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,117.0,4.0,25.0,68.0,31.0,1.0,117.0,5.0,8.0,62.5,6.0,0.0,86.0,265.0,115.0,3.0,2.0,0.0,97.0,81.0,83.5,3.0,4.0,0.0,12.0,9.0,0.0,0.0,1.0,0.0,15.0,6.0,6.0,50.0
6,Luis Alberto,es ESP,MF,Lazio,29-052,1992,12.0,9.0,799.0,2.0,4.0,0.0,0.0,2.0,0.0,0.23,0.45,0.68,0.23,0.68,0.9,0.9,2.0,0.1,0.22,0.33,0.1,0.33,8.9,14.0,5.0,1.0,35.7,1.58,0.56,0.14,0.4,0.07,1.1,1.1,563.0,672.0,83.8,9456.0,3039.0,278.0,303.0,91.7,216.0,250.0,86.4,52.0,93.0,55.9,2.0,18.0,73.0,17.0,1.0,57.0,624.0,48.0,20.0,4.0,109.0,24.0,12.0,24.0,13.0,6.0,3.0,524.0,65.0,83.0,36.0,616.0,9.0,2.0,4.0,2.0,3.0,18.0,8.0,34.0,3.83,24.0,8.0,0.0,0.0,2.0,0.0,4.0,0.45,2.0,2.0,0.0,0.0,0.0,0.0,15.0,9.0,5.0,6.0,4.0,5.0,19.0,26.3,14.0,145.0,46.0,31.7,51.0,69.0,25.0,8.0,1.0,0.0,7.0,7.0,1.0,0.0,746.0,6.0,127.0,441.0,236.0,13.0,700.0,9.0,13.0,69.2,9.0,2.0,572.0,2654.0,1502.0,56.0,29.0,3.0,643.0,594.0,92.4,6.0,9.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,70.0,6.0,4.0,60.0
7,Giorgio Altare,it ITA,DF,Cagliari,23-102,1998,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,57.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,Kelvin Amian,fr FRA,DF,Spezia,23-284,1998,8.0,7.0,593.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.1,0.1,0.5,0.02,0.07,0.09,0.02,0.09,6.6,2.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.06,-0.1,-0.1,232.0,289.0,80.3,3997.0,1602.0,115.0,129.0,89.1,97.0,116.0,83.6,18.0,33.0,54.5,0.5,5.0,9.0,3.0,2.0,12.0,224.0,65.0,8.0,0.0,43.0,6.0,7.0,0.0,0.0,0.0,0.0,178.0,77.0,34.0,27.0,192.0,11.0,57.0,1.0,1.0,7.0,9.0,7.0,8.0,1.21,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,15.0,2.0,2.0,5.0,9.0,55.6,4.0,107.0,35.0,32.7,62.0,31.0,14.0,14.0,2.0,0.0,12.0,17.0,26.0,0.0,371.0,25.0,166.0,160.0,60.0,6.0,309.0,1.0,5.0,20.0,1.0,0.0,181.0,832.0,352.0,10.0,2.0,1.0,213.0,193.0,90.6,4.0,3.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,29.0,8.0,10.0,44.4
9,Ethan Ampadu,wls WAL,MF,Venezia,21-066,2000,6.0,4.0,374.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.48,0.48,0.0,0.48,0.0,0.0,0.5,0.0,0.13,0.13,0.0,0.13,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,197.0,79.2,3348.0,990.0,45.0,55.0,81.8,84.0,95.0,88.4,27.0,38.0,71.1,1.5,4.0,14.0,2.0,0.0,18.0,188.0,9.0,8.0,1.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,142.0,29.0,26.0,33.0,151.0,5.0,1.0,4.0,2.0,3.0,6.0,8.0,9.0,2.17,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.48,2.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,6.0,6.0,1.0,2.0,6.0,33.3,4.0,67.0,15.0,22.4,32.0,29.0,6.0,9.0,2.0,0.0,7.0,9.0,6.0,0.0,241.0,16.0,105.0,129.0,22.0,1.0,233.0,1.0,2.0,50.0,1.0,0.0,142.0,840.0,406.0,11.0,3.0,1.0,153.0,143.0,93.5,3.0,5.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,47.0,4.0,3.0,57.1
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,25-090,1996,8.0,1.0,197.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.03,0.0,0.03,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,147.0,87.8,2753.0,621.0,39.0,42.0,92.9,63.0,69.0,91.3,24.0,29.0,82.8,-0.1,2.0,14.0,2.0,0.0,12.0,140.0,7.0,7.0,0.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,114.0,12.0,21.0,1.0,135.0,9.0,0.0,2.0,0.0,0.0,3.0,5.0,3.0,1.37,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,4.0,3.0,2.0,3.0,7.0,42.9,4.0,48.0,10.0,20.8,10.0,33.0,5.0,9.0,2.0,0.0,7.0,3.0,1.0,0.0,168.0,5.0,42.0,121.0,18.0,1.0,161.0,2.0,2.0,100.0,2.0,0.0,115.0,674.0,269.0,8.0,1.0,1.0,115.0,111.0,96.5,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,20.0
11,Felipe Anderson,br BRA,FW,Lazio,28-218,1993,12.0,12.0,1015.0,3.0,3.0,0.0,0.0,1.0,0.0,0.27,0.27,0.53,0.27,0.53,2.5,2.5,2.8,0.22,0.25,0.47,0.22,0.47,11.3,17.0,5.0,0.0,29.4,1.51,0.44,0.18,0.6,0.15,0.5,0.5,429.0,543.0,79.0,6671.0,1865.0,251.0,287.0,87.5,140.0,175.0,80.0,28.0,53.0,52.8,0.2,22.0,17.0,22.0,4.0,49.0,506.0,37.0,3.0,1.0,67.0,13.0,29.0,13.0,8.0,2.0,1.0,409.0,72.0,62.0,98.0,415.0,14.0,9.0,3.0,1.0,6.0,23.0,15.0,41.0,3.64,29.0,3.0,4.0,1.0,4.0,0.0,5.0,0.44,4.0,0.0,1.0,0.0,0.0,0.0,28.0,12.0,11.0,10.0,7.0,8.0,37.0,21.6,29.0,273.0,61.0,22.3,73.0,122.0,78.0,19.0,1.0,0.0,18.0,12.0,6.0,0.0,709.0,6.0,70.0,371.0,333.0,45.0,673.0,30.0,49.0,61.2,31.0,2.0,543.0,2950.0,1993.0,100.0,35.0,19.0,636.0,538.0,84.6,27.0,27.0,0.0,12.0,15.0,3.0,0.0,0.0,0.0,58.0,5.0,6.0,45.5
12,Cristian Ansaldi,ar ARG,DF,Torino,35-060,1986,7.0,3.0,338.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.2,0.2,0.8,0.04,0.23,0.27,0.04,0.27,3.8,3.0,1.0,0.0,33.3,0.8,0.27,0.0,0.0,0.05,-0.2,-0.2,161.0,217.0,74.2,3278.0,1629.0,69.0,75.0,92.0,58.0,74.0,78.4,30.0,54.0,55.6,2.2,10.0,24.0,8.0,7.0,22.0,177.0,40.0,2.0,0.0,23.0,9.0,18.0,4.0,1.0,1.0,0.0,106.0,42.0,69.0,59.0,119.0,4.0,34.0,0.0,2.0,7.0,4.0,12.0,16.0,4.26,12.0,1.0,1.0,1.0,1.0,0.0,4.0,1.07,4.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,3.0,0.0,5.0,6.0,83.3,1.0,37.0,12.0,32.4,15.0,10.0,12.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0,251.0,13.0,58.0,101.0,113.0,11.0,213.0,2.0,5.0,40.0,2.0,0.0,166.0,997.0,579.0,30.0,7.0,4.0,181.0,160.0,88.4,4.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,30.0,2.0,2.0,50.0
13,Janis Antiste,fr FRA,"FW,MF",Spezia,19-093,2002,9.0,7.0,537.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,1.3,1.3,0.2,0.21,0.03,0.25,0.21,0.25,6.0,9.0,2.0,0.0,22.2,1.51,0.34,0.11,0.5,0.14,-0.3,-0.3,76.0,114.0,66.7,1084.0,209.0,43.0,59.0,72.9,26.0,38.0,68.4,3.0,6.0,50.0,-0.2,3.0,2.0,6.0,2.0,7.0,104.0,10.0,0.0,1.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,75.0,20.0,19.0,21.0,80.0,9.0,0.0,0.0,2.0,1.0,5.0,8.0,7.0,1.17,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,3.0,7.0,4.0,4.0,10.0,40.0,6.0,125.0,36.0,28.8,18.0,41.0,66.0,6.0,0.0,0.0,6.0,3.0,2.0,0.0,185.0,3.0,30.0,80.0,89.0,33.0,175.0,7.0,14.0,50.0,7.0,2.0,118.0,472.0,262.0,11.0,2.0,5.0,244.0,131.0,53.7,13.0,16.0,0.0,10.0,5.0,2.0,0.0,0.0,0.0,18.0,6.0,16.0,27.3
