,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Yunis Abdelhamid,ma MAR,DF,Reims,34-040,1987,12.0,12.0,1080.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.1,0.04,0.01,0.05,0.04,0.05,12.0,9.0,3.0,0.0,33.3,0.75,0.25,0.11,0.33,0.05,0.5,0.5,469.0,559.0,83.9,10390.0,3486.0,122.0,136.0,89.7,268.0,297.0,90.2,78.0,113.0,69.0,-0.1,3.0,27.0,2.0,0.0,33.0,516.0,43.0,35.0,0.0,61.0,24.0,1.0,0.0,0.0,0.0,0.0,417.0,48.0,94.0,364.0,159.0,13.0,8.0,2.0,0.0,10.0,13.0,10.0,6.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,14.0,4.0,1.0,4.0,7.0,57.1,3.0,154.0,58.0,37.7,95.0,54.0,5.0,21.0,11.0,0.0,10.0,39.0,36.0,0.0,680.0,80.0,378.0,322.0,36.0,16.0,641.0,7.0,11.0,63.6,7.0,0.0,442.0,2548.0,1414.0,31.0,8.0,0.0,454.0,442.0,97.4,3.0,5.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,74.0,26.0,20.0,56.5
1,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21-226,2000,11.0,10.0,906.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.06,0.06,0.0,0.06,10.1,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,693.0,726.0,95.5,13424.0,2230.0,252.0,263.0,95.8,343.0,353.0,97.2,91.0,99.0,91.9,-0.6,4.0,27.0,2.0,0.0,22.0,719.0,7.0,7.0,0.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,654.0,42.0,30.0,62.0,638.0,15.0,0.0,4.0,0.0,4.0,8.0,5.0,7.0,0.7,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,14.0,12.0,2.0,8.0,26.0,30.8,18.0,215.0,71.0,33.0,81.0,113.0,21.0,12.0,1.0,0.0,11.0,17.0,8.0,0.0,818.0,37.0,312.0,488.0,70.0,3.0,813.0,7.0,10.0,70.0,7.0,0.0,656.0,2922.0,1170.0,22.0,4.0,1.0,689.0,654.0,94.9,4.0,15.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,71.0,8.0,7.0,53.3
2,Laurent Abergel,fr FRA,MF,Lorient,28-279,1993,11.0,11.0,990.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.09,0.09,0.0,0.09,1.4,1.4,1.5,0.13,0.13,0.26,0.13,0.26,11.0,11.0,4.0,0.0,36.4,1.0,0.36,0.0,0.0,0.13,-1.4,-1.4,424.0,523.0,81.1,8218.0,1975.0,175.0,192.0,91.1,182.0,208.0,87.5,63.0,96.0,65.6,-0.5,9.0,31.0,7.0,3.0,42.0,519.0,4.0,3.0,2.0,112.0,19.0,6.0,0.0,0.0,0.0,0.0,405.0,60.0,58.0,48.0,466.0,6.0,0.0,0.0,3.0,6.0,13.0,25.0,19.0,1.73,13.0,1.0,0.0,0.0,3.0,2.0,2.0,0.18,1.0,0.0,0.0,0.0,1.0,0.0,38.0,23.0,19.0,16.0,3.0,20.0,48.0,41.7,28.0,289.0,95.0,32.9,106.0,157.0,26.0,19.0,1.0,0.0,18.0,23.0,4.0,0.0,650.0,6.0,156.0,425.0,117.0,5.0,648.0,16.0,24.0,66.7,16.0,2.0,490.0,1935.0,1006.0,37.0,10.0,2.0,482.0,450.0,93.4,7.0,17.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,109.0,3.0,5.0,37.5
3,Charles Abi,fr FRA,FW,Saint-Étienne,21-209,2000,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,1.0,7.1,0.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,9.0,0.0,1.0,0.0,12.0,8.0,66.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
4,Matthis Abline,fr FRA,FW,Rennes,18-224,2003,7.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.32,0.3,0.32,1.1,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.17,-0.3,-0.3,8.0,10.0,80.0,100.0,22.0,4.0,6.0,66.7,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,4.0,15.4,4.0,14.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,2.0,11.0,12.0,3.0,25.0,1.0,2.0,50.0,1.0,0.0,18.0,68.0,35.0,3.0,0.0,0.0,39.0,13.0,33.3,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
5,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21-101,2000,13.0,9.0,834.0,1.0,3.0,0.0,0.0,1.0,0.0,0.11,0.32,0.43,0.11,0.43,1.1,1.1,3.1,0.12,0.33,0.45,0.12,0.45,9.3,11.0,5.0,3.0,45.5,1.19,0.54,0.09,0.2,0.1,-0.1,-0.1,360.0,478.0,75.3,7656.0,2190.0,142.0,157.0,90.4,137.0,163.0,84.0,75.0,140.0,53.6,-0.1,28.0,39.0,11.0,2.0,47.0,416.0,62.0,26.0,1.0,76.0,45.0,15.0,31.0,17.0,4.0,2.0,303.0,52.0,123.0,57.0,403.0,9.0,5.0,0.0,3.0,14.0,14.0,15.0,43.0,4.64,29.0,11.0,0.0,0.0,3.0,0.0,4.0,0.43,4.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,7.0,5.0,0.0,1.0,20.0,5.0,19.0,190.0,50.0,26.3,43.0,102.0,45.0,10.0,2.0,0.0,8.0,17.0,7.0,0.0,590.0,13.0,92.0,329.0,204.0,17.0,532.0,17.0,30.0,56.7,18.0,2.0,409.0,2031.0,953.0,44.0,11.0,2.0,460.0,406.0,88.3,14.0,29.0,0.0,4.0,11.0,2.0,0.0,0.0,0.0,69.0,6.0,9.0,40.0
6,Lucien Agoume,fr FRA,MF,Brest,19-271,2002,6.0,5.0,404.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.02,0.03,0.06,0.02,0.06,4.5,1.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.11,-0.1,-0.1,190.0,211.0,90.0,3942.0,833.0,64.0,69.0,92.8,81.0,87.0,93.1,44.0,50.0,88.0,-0.1,3.0,12.0,5.0,0.0,15.0,205.0,6.0,5.0,0.0,39.0,11.0,0.0,1.0,0.0,0.0,1.0,163.0,26.0,22.0,21.0,178.0,7.0,0.0,2.0,0.0,0.0,3.0,4.0,5.0,1.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,2.0,2.0,4.0,6.0,66.7,2.0,63.0,14.0,22.2,25.0,25.0,13.0,5.0,2.0,0.0,3.0,7.0,6.0,0.0,253.0,13.0,78.0,144.0,43.0,5.0,248.0,4.0,10.0,40.0,5.0,2.0,183.0,920.0,500.0,15.0,0.0,1.0,189.0,182.0,96.3,3.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,34.0,3.0,7.0,30.0
7,Nayef Aguerd,ma MAR,DF,Rennes,25-222,1996,12.0,12.0,1080.0,2.0,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0.17,0.17,0.17,1.2,1.2,0.0,0.1,0.0,0.1,0.1,0.1,12.0,11.0,4.0,0.0,36.4,0.92,0.33,0.18,0.5,0.11,0.8,0.8,801.0,868.0,92.3,17785.0,5483.0,196.0,204.0,96.1,437.0,451.0,96.9,162.0,202.0,80.2,0.0,0.0,32.0,0.0,0.0,29.0,848.0,20.0,16.0,0.0,53.0,30.0,1.0,0.0,0.0,0.0,0.0,752.0,38.0,78.0,742.0,87.0,18.0,4.0,2.0,1.0,5.0,14.0,5.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,2.0,0.0,2.0,7.0,28.6,5.0,75.0,26.0,34.7,42.0,30.0,3.0,13.0,8.0,0.0,5.0,17.0,73.0,1.0,999.0,137.0,525.0,517.0,25.0,15.0,979.0,3.0,3.0,100.0,3.0,0.0,722.0,3626.0,1992.0,24.0,2.0,0.0,780.0,769.0,98.6,1.0,5.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,82.0,46.0,15.0,75.4
8,Ruben Aguilar,fr FRA,DF,Monaco,28-195,1993,10.0,7.0,716.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.03,0.0,0.03,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,668.0,88.6,10670.0,3599.0,267.0,286.0,93.4,272.0,295.0,92.2,50.0,78.0,64.1,-0.2,4.0,52.0,8.0,2.0,50.0,557.0,111.0,11.0,0.0,54.0,11.0,15.0,1.0,0.0,1.0,0.0,446.0,141.0,81.0,8.0,535.0,16.0,99.0,4.0,3.0,9.0,15.0,7.0,4.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,15.0,18.0,5.0,23.0,32.0,71.9,9.0,141.0,53.0,37.6,65.0,60.0,16.0,10.0,1.0,0.0,9.0,19.0,26.0,0.0,764.0,27.0,185.0,446.0,171.0,7.0,658.0,4.0,4.0,100.0,4.0,0.0,464.0,1951.0,1140.0,57.0,15.0,1.0,504.0,484.0,96.0,3.0,4.0,0.0,12.0,9.0,1.0,0.0,0.0,1.0,65.0,12.0,9.0,57.1
9,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27-232,1994,10.0,5.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.02,0.05,0.06,0.02,0.06,4.4,4.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.02,-0.1,-0.1,157.0,183.0,85.8,2736.0,363.0,62.0,66.0,93.9,75.0,83.0,90.4,17.0,29.0,58.6,-0.2,1.0,6.0,1.0,0.0,8.0,175.0,8.0,8.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,151.0,18.0,14.0,135.0,42.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,4.0,7.0,57.1,3.0,83.0,13.0,15.7,31.0,47.0,5.0,4.0,1.0,0.0,3.0,11.0,10.0,0.0,230.0,10.0,61.0,164.0,17.0,0.0,223.0,2.0,6.0,33.3,3.0,1.0,152.0,732.0,329.0,14.0,3.0,0.0,160.0,148.0,92.5,5.0,4.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,40.0,4.0,2.0,66.7
