,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Tammy Abraham,eng ENG,FW,Roma,24-036,1997,11.0,11.0,920.0,2.0,2.0,0.0,0.0,3.0,0.0,0.2,0.2,0.39,0.2,0.39,4.9,4.9,2.0,0.48,0.2,0.67,0.48,0.67,10.2,26.0,6.0,1.0,23.1,2.54,0.59,0.08,0.33,0.19,-2.9,-2.9,147.0,194.0,75.8,2124.0,481.0,89.0,111.0,80.2,41.0,54.0,75.9,9.0,11.0,81.8,0.0,14.0,8.0,8.0,0.0,19.0,179.0,15.0,0.0,1.0,61.0,2.0,5.0,0.0,0.0,0.0,0.0,124.0,43.0,27.0,13.0,133.0,16.0,0.0,9.0,0.0,2.0,6.0,9.0,31.0,3.03,23.0,0.0,0.0,4.0,3.0,1.0,6.0,0.59,3.0,0.0,0.0,2.0,1.0,0.0,12.0,10.0,1.0,8.0,3.0,3.0,6.0,50.0,3.0,136.0,35.0,25.7,4.0,63.0,69.0,9.0,3.0,0.0,6.0,3.0,10.0,1.0,305.0,9.0,23.0,148.0,159.0,60.0,290.0,14.0,21.0,66.7,14.0,0.0,165.0,844.0,464.0,29.0,14.0,8.0,403.0,217.0,53.8,23.0,10.0,0.0,14.0,14.0,8.0,0.0,0.0,0.0,28.0,28.0,25.0,52.8
1,Francesco Acerbi,it ITA,DF,Lazio,33-270,1988,9.0,9.0,795.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.0,0.02,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,606.0,88.9,10963.0,3437.0,184.0,199.0,92.5,271.0,293.0,92.5,78.0,104.0,75.0,-0.2,2.0,44.0,0.0,0.0,30.0,582.0,24.0,19.0,1.0,45.0,17.0,1.0,0.0,0.0,0.0,0.0,437.0,69.0,100.0,456.0,107.0,24.0,0.0,0.0,0.0,9.0,6.0,3.0,6.0,0.68,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,5.0,3.0,0.0,3.0,7.0,42.9,4.0,60.0,18.0,30.0,28.0,26.0,6.0,17.0,13.0,0.0,4.0,19.0,52.0,0.0,702.0,100.0,361.0,368.0,22.0,1.0,680.0,0.0,0.0,0.0,0.0,0.0,455.0,2307.0,1305.0,32.0,7.0,0.0,487.0,475.0,97.5,4.0,3.0,0.0,9.0,5.0,1.0,1.0,0.0,0.0,100.0,33.0,14.0,70.2
2,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18-292,2003,2.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.22,0.08,0.3,0.22,0.3,0.9,3.0,1.0,0.0,33.3,3.42,1.14,0.0,0.0,0.07,-0.2,-0.2,10.0,15.0,66.7,188.0,71.0,4.0,8.0,50.0,5.0,6.0,83.3,1.0,1.0,100.0,-0.1,2.0,0.0,2.0,1.0,2.0,14.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.56,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,18.2,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,10.0,21.0,8.0,28.0,0.0,2.0,0.0,0.0,0.0,22.0,141.0,94.0,3.0,2.0,0.0,27.0,20.0,74.1,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
3,Kevin Agudelo,co COL,FW,Spezia,22-358,1998,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.63,0.71,1.34,0.63,1.34,0.3,2.0,2.0,0.0,100.0,6.21,6.21,0.0,0.0,0.1,-0.2,-0.2,11.0,16.0,68.8,183.0,54.0,5.0,6.0,83.3,5.0,8.0,62.5,1.0,1.0,100.0,-0.2,2.0,1.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.31,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,3.0,100.0,0.0,11.0,3.0,27.3,2.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,2.0,9.0,13.0,1.0,22.0,1.0,1.0,100.0,1.0,0.0,17.0,92.0,34.0,4.0,1.0,0.0,19.0,17.0,89.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
4,Ola Aina,ng NGA,DF,Torino,25-030,1996,11.0,9.0,726.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0.02,0.14,0.16,0.02,0.16,8.1,5.0,1.0,0.0,20.0,0.62,0.12,0.0,0.0,0.04,-0.2,-0.2,283.0,385.0,73.5,5229.0,2345.0,125.0,150.0,83.3,117.0,144.0,81.3,38.0,70.0,54.3,-1.1,10.0,27.0,15.0,3.0,40.0,313.0,72.0,2.0,2.0,53.0,3.0,19.0,0.0,0.0,0.0,0.0,208.0,70.0,107.0,91.0,198.0,19.0,70.0,2.0,1.0,6.0,13.0,22.0,21.0,2.6,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,9.0,2.0,9.0,12.0,75.0,3.0,87.0,31.0,35.6,28.0,37.0,22.0,10.0,2.0,0.0,8.0,19.0,14.0,0.0,498.0,19.0,100.0,244.0,185.0,17.0,428.0,10.0,20.0,50.0,11.0,1.0,268.0,1453.0,852.0,39.0,16.0,8.0,332.0,287.0,86.4,13.0,9.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,66.0,8.0,7.0,53.3
5,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-027,1992,7.0,3.0,232.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.14,0.01,0.15,0.14,0.15,2.6,1.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.36,-0.4,-0.4,64.0,78.0,82.1,849.0,129.0,41.0,47.0,87.2,21.0,24.0,87.5,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,78.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,19.0,1.0,15.0,54.0,3.0,0.0,1.0,0.0,2.0,2.0,6.0,2.0,0.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,7.0,0.0,4.0,8.0,50.0,4.0,75.0,18.0,24.0,17.0,38.0,20.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,117.0,4.0,25.0,68.0,31.0,1.0,117.0,5.0,8.0,62.5,6.0,0.0,86.0,265.0,115.0,3.0,2.0,0.0,97.0,81.0,83.5,3.0,4.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,15.0,6.0,6.0,50.0
6,Luis Alberto,es ESP,MF,Lazio,29-040,1992,11.0,8.0,709.0,1.0,4.0,0.0,0.0,2.0,0.0,0.13,0.51,0.63,0.13,0.63,0.7,0.7,1.8,0.08,0.22,0.31,0.08,0.31,7.9,10.0,3.0,1.0,30.0,1.27,0.38,0.1,0.33,0.07,0.3,0.3,492.0,587.0,83.8,8368.0,2679.0,236.0,258.0,91.5,193.0,223.0,86.5,47.0,81.0,58.0,2.2,16.0,69.0,14.0,0.0,51.0,546.0,41.0,18.0,4.0,94.0,20.0,9.0,19.0,11.0,4.0,3.0,454.0,61.0,72.0,31.0,538.0,9.0,2.0,2.0,2.0,1.0,17.0,8.0,27.0,3.43,19.0,8.0,0.0,0.0,0.0,0.0,4.0,0.51,2.0,2.0,0.0,0.0,0.0,0.0,15.0,9.0,5.0,6.0,4.0,5.0,18.0,27.8,13.0,134.0,42.0,31.3,49.0,65.0,20.0,7.0,1.0,0.0,6.0,6.0,1.0,0.0,649.0,6.0,111.0,390.0,193.0,10.0,610.0,8.0,11.0,72.7,8.0,2.0,499.0,2181.0,1176.0,46.0,22.0,3.0,557.0,515.0,92.5,6.0,8.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,61.0,6.0,2.0,75.0
7,Giorgio Altare,it ITA,DF,Cagliari,23-090,1998,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,57.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,Kelvin Amian,fr FRA,DF,Spezia,23-272,1998,8.0,7.0,593.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.1,0.1,0.5,0.02,0.07,0.09,0.02,0.09,6.6,2.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.06,-0.1,-0.1,232.0,289.0,80.3,3997.0,1602.0,115.0,129.0,89.1,97.0,116.0,83.6,18.0,33.0,54.5,0.5,5.0,9.0,3.0,2.0,12.0,224.0,65.0,8.0,0.0,43.0,6.0,7.0,0.0,0.0,0.0,0.0,178.0,77.0,34.0,27.0,192.0,11.0,57.0,1.0,1.0,7.0,9.0,7.0,8.0,1.21,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,15.0,2.0,2.0,5.0,9.0,55.6,4.0,107.0,35.0,32.7,62.0,31.0,14.0,14.0,2.0,0.0,12.0,17.0,26.0,0.0,371.0,25.0,166.0,160.0,60.0,6.0,309.0,1.0,5.0,20.0,1.0,0.0,181.0,832.0,352.0,10.0,2.0,1.0,213.0,193.0,90.6,4.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,29.0,8.0,10.0,44.4
9,Ethan Ampadu,wls WAL,MF,Venezia,21-054,2000,5.0,3.0,284.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,0.1,0.0,0.03,0.03,0.0,0.03,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,165.0,77.6,2697.0,727.0,37.0,46.0,80.4,71.0,82.0,86.6,20.0,29.0,69.0,0.9,3.0,10.0,0.0,0.0,12.0,158.0,7.0,6.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,121.0,25.0,19.0,29.0,127.0,4.0,1.0,2.0,2.0,3.0,5.0,7.0,8.0,2.54,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,5.0,1.0,2.0,5.0,40.0,3.0,56.0,14.0,25.0,29.0,25.0,2.0,6.0,1.0,0.0,5.0,8.0,3.0,0.0,197.0,12.0,85.0,105.0,17.0,1.0,191.0,1.0,2.0,50.0,1.0,0.0,115.0,695.0,350.0,9.0,2.0,1.0,130.0,121.0,93.1,2.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,37.0,3.0,1.0,75.0
