,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Luis Abram,pe PER,DF,Granada,25-265,1996,6.0,5.0,424.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,191.0,89.5,3855.0,944.0,36.0,39.0,92.3,100.0,106.0,94.3,34.0,44.0,77.3,0.0,0.0,7.0,0.0,0.0,6.0,182.0,9.0,5.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,155.0,12.0,24.0,160.0,18.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,1.0,1.0,2.0,50.0,1.0,21.0,9.0,42.9,5.0,15.0,1.0,10.0,4.0,1.0,6.0,9.0,29.0,1.0,243.0,45.0,153.0,100.0,5.0,3.0,235.0,0.0,0.0,0.0,0.0,0.0,136.0,666.0,401.0,6.0,0.0,0.0,163.0,160.0,98.2,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,18.0,8.0,11.0,42.1
1,Marcos Acuña,ar ARG,DF,Sevilla,30-022,1991,11.0,9.0,775.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.12,0.23,0.12,0.23,0.9,0.9,1.6,0.1,0.18,0.29,0.1,0.29,8.6,6.0,4.0,0.0,66.7,0.7,0.46,0.17,0.25,0.15,0.1,0.1,571.0,713.0,80.1,11740.0,4414.0,202.0,216.0,93.5,263.0,309.0,85.1,101.0,171.0,59.1,-0.6,19.0,39.0,18.0,7.0,51.0,582.0,131.0,24.0,2.0,55.0,32.0,42.0,13.0,0.0,12.0,0.0,435.0,100.0,178.0,532.0,62.0,15.0,94.0,0.0,1.0,11.0,25.0,13.0,34.0,3.95,24.0,8.0,0.0,1.0,1.0,0.0,1.0,0.12,0.0,1.0,0.0,0.0,0.0,0.0,14.0,7.0,8.0,4.0,2.0,6.0,11.0,54.5,5.0,91.0,22.0,24.2,45.0,36.0,10.0,10.0,1.0,0.0,9.0,11.0,10.0,0.0,796.0,16.0,223.0,394.0,223.0,8.0,669.0,13.0,19.0,68.4,14.0,2.0,520.0,2101.0,1213.0,44.0,11.0,2.0,578.0,551.0,95.3,12.0,11.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,63.0,10.0,17.0,37.0
2,Martin Agirregabiria,es ESP,DF,Alavés,25-193,1996,7.0,5.0,530.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.1,0.1,0.2,0.01,0.04,0.05,0.01,0.05,5.9,2.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.04,-0.1,-0.1,189.0,254.0,74.4,3613.0,1741.0,82.0,95.0,86.3,87.0,111.0,78.4,20.0,43.0,46.5,0.8,5.0,20.0,9.0,6.0,18.0,194.0,60.0,4.0,0.0,23.0,9.0,17.0,1.0,0.0,0.0,0.0,123.0,65.0,66.0,13.0,167.0,15.0,55.0,0.0,1.0,6.0,12.0,6.0,10.0,1.7,7.0,0.0,1.0,0.0,2.0,0.0,2.0,0.34,1.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,9.0,3.0,4.0,7.0,16.0,43.8,9.0,78.0,16.0,20.5,36.0,29.0,13.0,14.0,2.0,0.0,12.0,8.0,21.0,0.0,322.0,19.0,106.0,148.0,81.0,6.0,264.0,2.0,3.0,66.7,2.0,1.0,150.0,597.0,317.0,11.0,4.0,0.0,186.0,162.0,87.1,4.0,2.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,33.0,9.0,11.0,45.0
3,Julen Agirrezabala,es ESP,GK,Athletic Club,20-328,2000,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,46.0,73.9,857.0,445.0,8.0,8.0,100.0,19.0,19.0,100.0,6.0,18.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,17.0,16.0,18.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,94.0,49.0,0.0,0.0,0.0,10.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
4,Sergio Agüero,ar ARG,FW,Barcelona,33-170,1988,4.0,2.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,0.64,0.16,0.8,0.64,0.8,1.7,6.0,1.0,0.0,16.7,3.58,0.6,0.17,1.0,0.18,-0.1,-0.1,31.0,43.0,72.1,469.0,43.0,18.0,25.0,72.0,10.0,15.0,66.7,2.0,2.0,100.0,-0.3,1.0,2.0,0.0,0.0,2.0,41.0,2.0,0.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,10.0,5.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,3.0,16.7,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,28.0,33.0,15.0,57.0,1.0,1.0,100.0,1.0,0.0,38.0,237.0,111.0,7.0,2.0,2.0,78.0,53.0,67.9,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,66.7
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,26-051,1995,7.0,5.0,426.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,4.7,2.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.05,-0.1,-0.1,230.0,266.0,86.5,5416.0,1480.0,57.0,63.0,90.5,110.0,117.0,94.0,60.0,81.0,74.1,0.0,1.0,20.0,0.0,0.0,16.0,260.0,6.0,5.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,196.0,23.0,47.0,43.0,200.0,15.0,1.0,1.0,0.0,9.0,4.0,3.0,4.0,0.85,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,1.0,0.0,1.0,6.0,16.7,5.0,55.0,20.0,36.4,39.0,16.0,0.0,6.0,2.0,0.0,4.0,7.0,22.0,1.0,312.0,26.0,155.0,171.0,5.0,3.0,306.0,0.0,0.0,0.0,0.0,0.0,212.0,1206.0,714.0,20.0,1.0,0.0,209.0,207.0,99.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,46.0,18.0,10.0,64.3
6,Carlos Akapo,gq EQG,DF,Cádiz,28-252,1993,7.0,4.0,416.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.01,0.0,0.01,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,172.0,66.3,2342.0,915.0,42.0,54.0,77.8,52.0,71.0,73.2,17.0,36.0,47.2,-0.1,1.0,8.0,3.0,1.0,7.0,125.0,47.0,4.0,0.0,21.0,8.0,6.0,0.0,0.0,0.0,0.0,75.0,45.0,52.0,7.0,104.0,12.0,43.0,0.0,0.0,9.0,3.0,11.0,2.0,0.43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,11.0,1.0,0.0,3.0,7.0,42.9,4.0,74.0,21.0,28.4,46.0,21.0,7.0,7.0,0.0,0.0,7.0,10.0,15.0,0.0,224.0,21.0,84.0,91.0,61.0,0.0,178.0,1.0,1.0,100.0,1.0,0.0,97.0,533.0,251.0,12.0,8.0,0.0,106.0,86.0,81.1,5.0,2.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,36.0,10.0,9.0,52.6
7,Paul Akouokou,ci CIV,MF,Betis,23-334,1997,1.0,1.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.9,1.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,0.0,54.0,61.0,88.5,1042.0,310.0,19.0,23.0,82.6,31.0,32.0,96.9,4.0,6.0,66.7,0.0,0.0,7.0,1.0,0.0,5.0,61.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,8.0,8.0,48.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,19.0,6.0,31.6,7.0,9.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,70.0,2.0,15.0,53.0,4.0,0.0,70.0,1.0,1.0,100.0,1.0,0.0,50.0,292.0,174.0,7.0,1.0,0.0,52.0,52.0,100.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0
8,David Alaba,at AUT,DF,Real Madrid,29-148,1992,11.0,11.0,990.0,1.0,3.0,0.0,0.0,0.0,0.0,0.09,0.27,0.36,0.09,0.36,0.3,0.3,1.7,0.03,0.15,0.18,0.03,0.18,11.0,7.0,1.0,3.0,14.3,0.64,0.09,0.14,1.0,0.05,0.7,0.7,634.0,703.0,90.2,11860.0,3934.0,269.0,281.0,95.7,268.0,285.0,94.0,87.0,116.0,75.0,1.3,12.0,50.0,11.0,2.0,33.0,656.0,47.0,19.0,1.0,63.0,7.0,22.0,3.0,3.0,0.0,0.0,573.0,59.0,71.0,571.0,89.0,15.0,24.0,0.0,2.0,7.0,4.0,9.0,21.0,1.91,18.0,1.0,0.0,0.0,0.0,2.0,7.0,0.64,7.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,9.0,3.0,2.0,5.0,9.0,55.6,4.0,98.0,34.0,34.7,52.0,37.0,9.0,14.0,6.0,0.0,8.0,20.0,32.0,2.0,793.0,102.0,360.0,360.0,139.0,18.0,744.0,2.0,3.0,66.7,2.0,0.0,572.0,3613.0,1975.0,48.0,18.0,4.0,626.0,593.0,94.7,5.0,4.0,0.0,6.0,7.0,2.0,0.0,0.0,0.0,62.0,7.0,5.0,58.3
9,Tomás Alarcón,cl CHI,MF,Cádiz,22-304,1999,12.0,9.0,822.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11,0.9,0.9,0.7,0.1,0.08,0.18,0.1,0.18,9.1,10.0,1.0,0.0,10.0,1.09,0.11,0.0,0.0,0.09,-0.9,-0.9,225.0,322.0,69.9,5150.0,1416.0,73.0,85.0,85.9,93.0,123.0,75.6,53.0,98.0,54.1,0.3,9.0,22.0,4.0,2.0,16.0,280.0,42.0,20.0,0.0,58.0,25.0,17.0,20.0,8.0,8.0,0.0,163.0,39.0,120.0,21.0,273.0,18.0,1.0,0.0,2.0,11.0,5.0,8.0,20.0,2.19,10.0,9.0,1.0,0.0,0.0,0.0,3.0,0.33,1.0,2.0,0.0,0.0,0.0,0.0,23.0,13.0,10.0,9.0,4.0,5.0,14.0,35.7,9.0,163.0,46.0,28.2,83.0,62.0,18.0,21.0,4.0,0.0,17.0,14.0,34.0,0.0,447.0,37.0,130.0,239.0,98.0,8.0,405.0,3.0,5.0,60.0,4.0,0.0,231.0,916.0,349.0,11.0,6.0,0.0,228.0,207.0,90.8,7.0,10.0,0.0,21.0,5.0,0.0,0.0,1.0,0.0,91.0,16.0,15.0,51.6
