,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Max Aarons,eng ENG,DF,Norwich City,21-319,2000,11.0,11.0,990.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.03,0.06,0.09,0.03,0.09,11.0,8.0,1.0,0.0,12.5,0.73,0.09,0.0,0.0,0.04,-0.3,-0.3,340.0,441.0,77.1,5646.0,1976.0,186.0,205.0,90.7,118.0,148.0,79.7,31.0,68.0,45.6,-0.7,8.0,12.0,15.0,5.0,29.0,326.0,115.0,8.0,1.0,55.0,10.0,17.0,0.0,0.0,0.0,0.0,250.0,105.0,86.0,47.0,277.0,5.0,107.0,1.0,3.0,6.0,13.0,20.0,15.0,1.36,12.0,0.0,1.0,1.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,9.0,6.0,0.0,8.0,19.0,42.1,11.0,135.0,35.0,25.9,81.0,40.0,14.0,30.0,7.0,0.0,23.0,12.0,27.0,0.0,585.0,52.0,228.0,253.0,143.0,10.0,474.0,16.0,35.0,45.7,17.0,3.0,348.0,1990.0,1267.0,50.0,18.0,4.0,382.0,327.0,85.6,10.0,10.0,0.0,9.0,22.0,1.0,0.0,0.0,1.0,58.0,5.0,20.0,20.0
1,Che Adams,sct SCO,"FW,MF",Southampton,25-129,1996,8.0,7.0,572.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.31,0.16,0.31,1.4,1.4,1.3,0.23,0.2,0.43,0.23,0.43,6.4,12.0,5.0,0.0,41.7,1.89,0.79,0.08,0.2,0.12,-0.4,-0.4,90.0,129.0,69.8,1269.0,212.0,58.0,73.0,79.5,22.0,34.0,64.7,5.0,13.0,38.5,-0.3,8.0,3.0,3.0,1.0,7.0,125.0,4.0,0.0,1.0,37.0,1.0,3.0,0.0,0.0,0.0,0.0,80.0,23.0,26.0,7.0,98.0,8.0,0.0,2.0,0.0,3.0,8.0,1.0,15.0,2.36,10.0,0.0,0.0,0.0,4.0,1.0,2.0,0.31,1.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,1.0,4.0,1.0,3.0,33.3,2.0,92.0,23.0,25.0,13.0,32.0,47.0,11.0,3.0,0.0,8.0,5.0,7.0,0.0,217.0,12.0,28.0,93.0,106.0,26.0,213.0,3.0,8.0,37.5,5.0,0.0,134.0,471.0,227.0,10.0,6.0,2.0,293.0,142.0,48.5,16.0,13.0,0.0,15.0,17.0,2.0,0.0,0.0,0.0,35.0,16.0,34.0,32.0
2,Rayan Aït Nouri,fr FRA,DF,Wolves,20-166,2001,4.0,3.0,269.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,0.33,0.2,0.2,0.1,0.05,0.02,0.07,0.05,0.07,3.0,2.0,1.0,0.0,50.0,0.67,0.33,0.0,0.0,0.08,-0.2,-0.2,114.0,154.0,74.0,1944.0,720.0,60.0,70.0,85.7,45.0,59.0,76.3,9.0,18.0,50.0,0.9,1.0,4.0,3.0,1.0,9.0,124.0,30.0,1.0,0.0,24.0,3.0,5.0,5.0,0.0,5.0,0.0,95.0,29.0,30.0,108.0,14.0,8.0,24.0,0.0,0.0,3.0,9.0,5.0,5.0,1.67,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,14.0,8.0,11.0,2.0,1.0,4.0,10.0,40.0,6.0,83.0,29.0,34.9,40.0,28.0,15.0,4.0,0.0,0.0,4.0,6.0,4.0,0.0,200.0,5.0,62.0,81.0,65.0,7.0,171.0,8.0,11.0,72.7,8.0,1.0,128.0,716.0,478.0,22.0,4.0,2.0,128.0,116.0,90.6,4.0,11.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0
3,Kristoffer Ajer,no NOR,DF,Brentford,23-216,1998,7.0,6.0,565.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.03,0.05,0.07,0.03,0.07,6.3,2.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.09,-0.2,-0.2,136.0,209.0,65.1,2410.0,1083.0,56.0,66.0,84.8,65.0,91.0,71.4,11.0,35.0,31.4,-0.3,1.0,7.0,2.0,1.0,12.0,163.0,46.0,6.0,0.0,34.0,3.0,3.0,0.0,0.0,0.0,0.0,91.0,59.0,59.0,9.0,129.0,15.0,40.0,1.0,0.0,5.0,8.0,13.0,6.0,0.96,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,8.0,1.0,2.0,7.0,14.0,50.0,7.0,57.0,18.0,31.6,29.0,24.0,4.0,9.0,4.0,1.0,5.0,13.0,35.0,0.0,289.0,32.0,128.0,134.0,44.0,9.0,246.0,4.0,6.0,66.7,4.0,0.0,126.0,774.0,452.0,15.0,5.0,0.0,127.0,106.0,83.5,6.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,55.0,21.0,9.0,70.0
4,Nathan Aké,nl NED,DF,Manchester City,26-274,1995,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.07,0.0,0.07,0.07,0.07,3.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.2,-0.2,-0.2,197.0,214.0,92.1,3463.0,855.0,88.0,94.0,93.6,92.0,98.0,93.9,15.0,20.0,75.0,0.0,0.0,11.0,3.0,0.0,8.0,208.0,6.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,187.0,9.0,18.0,163.0,36.0,6.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,14.0,4.0,28.6,4.0,9.0,1.0,3.0,3.0,0.0,0.0,3.0,17.0,0.0,243.0,13.0,83.0,141.0,38.0,2.0,237.0,0.0,0.0,0.0,0.0,0.0,178.0,987.0,633.0,18.0,1.0,0.0,200.0,191.0,95.5,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,100.0
5,Marc Albrighton,eng ENG,"MF,FW",Leicester City,32-001,1989,3.0,2.0,191.0,1.0,0.0,0.0,0.0,1.0,0.0,0.47,0.0,0.47,0.47,0.47,0.0,0.0,0.2,0.02,0.1,0.12,0.02,0.12,2.1,1.0,1.0,0.0,100.0,0.47,0.47,1.0,1.0,0.04,1.0,1.0,30.0,64.0,46.9,658.0,282.0,12.0,14.0,85.7,12.0,20.0,60.0,5.0,24.0,20.8,-0.2,2.0,3.0,1.0,1.0,2.0,47.0,17.0,2.0,0.0,12.0,9.0,4.0,14.0,9.0,4.0,1.0,26.0,13.0,25.0,2.0,59.0,2.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,1.41,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,68.0,12.0,17.6,22.0,36.0,10.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,87.0,5.0,18.0,35.0,38.0,2.0,70.0,3.0,7.0,42.9,4.0,1.0,54.0,266.0,104.0,6.0,1.0,2.0,82.0,48.0,58.5,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
6,Thiago Alcántara,es ESP,MF,Liverpool,30-222,1991,5.0,2.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.4,0.4,0.4,0.2,0.18,0.38,0.2,0.38,2.2,6.0,2.0,0.0,33.3,2.7,0.9,0.0,0.0,0.07,-0.4,-0.4,167.0,188.0,88.8,3574.0,934.0,50.0,56.0,89.3,86.0,92.0,93.5,28.0,35.0,80.0,0.6,4.0,32.0,5.0,0.0,29.0,185.0,3.0,1.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,134.0,24.0,30.0,12.0,163.0,6.0,0.0,0.0,0.0,3.0,7.0,2.0,12.0,5.4,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,3.0,1.0,1.0,3.0,33.3,2.0,22.0,11.0,50.0,11.0,7.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,209.0,4.0,32.0,134.0,57.0,5.0,206.0,0.0,0.0,0.0,0.0,0.0,151.0,751.0,461.0,28.0,7.0,1.0,162.0,155.0,95.7,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,1.0,90.0
7,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-043,1998,9.0,9.0,784.0,1.0,4.0,0.0,0.0,1.0,0.0,0.11,0.46,0.57,0.11,0.57,0.9,0.9,3.9,0.1,0.44,0.55,0.1,0.55,8.7,17.0,5.0,3.0,29.4,1.95,0.57,0.06,0.2,0.05,0.1,0.1,592.0,768.0,77.1,12512.0,5122.0,240.0,268.0,89.6,224.0,267.0,83.9,122.0,216.0,56.5,0.1,29.0,60.0,24.0,5.0,81.0,627.0,141.0,27.0,5.0,69.0,56.0,36.0,40.0,7.0,28.0,1.0,427.0,117.0,224.0,76.0,598.0,15.0,74.0,0.0,2.0,13.0,28.0,15.0,48.0,5.51,29.0,17.0,1.0,1.0,0.0,0.0,6.0,0.69,5.0,1.0,0.0,0.0,0.0,0.0,15.0,11.0,5.0,7.0,3.0,8.0,17.0,47.1,9.0,77.0,29.0,37.7,32.0,28.0,17.0,10.0,2.0,0.0,8.0,25.0,21.0,0.0,864.0,24.0,178.0,419.0,305.0,22.0,722.0,5.0,11.0,45.5,5.0,0.0,502.0,2044.0,1143.0,53.0,17.0,4.0,589.0,559.0,94.9,5.0,7.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,75.0,9.0,5.0,64.3
8,Alisson,br BRA,GK,Liverpool,29-048,1992,10.0,10.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,346.0,87.0,8349.0,4860.0,49.0,49.0,100.0,160.0,162.0,98.8,91.0,134.0,67.9,0.0,0.0,4.0,0.0,0.0,0.0,274.0,72.0,16.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,242.0,17.0,87.0,15.0,268.0,0.0,0.0,53.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,384.0,308.0,379.0,5.0,0.0,0.0,312.0,1.0,1.0,100.0,1.0,0.0,196.0,694.0,372.0,0.0,0.0,0.0,191.0,191.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0
9,Allan,br BRA,MF,Everton,30-315,1991,11.0,11.0,962.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04,10.7,3.0,1.0,0.0,33.3,0.28,0.09,0.0,0.0,0.03,-0.1,-0.1,303.0,399.0,75.9,5961.0,1942.0,107.0,132.0,81.1,137.0,167.0,82.0,49.0,75.0,65.3,0.6,9.0,38.0,10.0,2.0,49.0,374.0,25.0,12.0,0.0,64.0,6.0,3.0,0.0,0.0,0.0,0.0,267.0,46.0,86.0,41.0,342.0,10.0,2.0,1.0,2.0,9.0,21.0,15.0,15.0,1.4,14.0,0.0,0.0,0.0,1.0,0.0,4.0,0.37,3.0,0.0,0.0,0.0,1.0,0.0,34.0,28.0,18.0,13.0,3.0,8.0,36.0,22.2,28.0,297.0,93.0,31.3,118.0,150.0,29.0,23.0,4.0,0.0,19.0,19.0,20.0,0.0,514.0,35.0,157.0,292.0,94.0,5.0,489.0,9.0,12.0,75.0,9.0,1.0,309.0,1629.0,917.0,45.0,14.0,1.0,285.0,262.0,91.9,5.0,11.0,0.0,15.0,8.0,0.0,1.0,0.0,0.0,113.0,4.0,6.0,40.0
